,left,right,top,bottom,Name,height,width
301,152,327,0,471,hagstrom-viking-deluxe-baritone-black-gloss,471,175
302,664,1255,0,1919,ibanez-azes31-vm,1919,591
303,640,1279,0,1919,jackson-pro-monarkh-sc-trans-purple,1919,639
304,636,1295,0,1917,esp-ltd-viper-400-baritone-blks,1917,659
305,640,1287,8,1903,prs-custom-24-black-goldburst,1895,647
306,640,1279,8,1911,fender-player-plus-nashville-telecaster-ospk,1903,639
307,648,1271,0,1919,fender-player-plus-stratocaster-hss-mn-3tsb,1919,623
308,289,631,0,951,schecter-jake-pitts-e-1-fr-s,951,342
309,640,1279,8,1911,fender-american-ultra-strat-hss-mn-ultrb,1903,639
310,648,1263,8,1903,jackson-dinky-js11-mbl-10126630,1895,615
311,600,1319,0,1919,ibanez-prestige-artstar-as2000-bs,1919,719
312,648,1271,0,1919,charvel-pro-mod-socal-style-1-gamera-black,1919,623
313,632,1287,1,1911,evh-wolfgang-special-pw,1910,655
314,351,631,88,863,fender-player-jaguar-pf-surf-pearl,775,280
315,648,1263,24,1895,gibson-custom-shop-1959-les-paul-standard-ultraheavyaged-10152220,1871,615
316,304,655,0,959,epiphone-sheraton-ii-pro-vs,959,351
317,629,1303,0,1919,esp-ltd-kh-3-spider-kirk-hammett-signature-incl-case-ltd,1919,674
318,648,1271,8,1911,charvel-pro-mod-angel-vivaldi-sign-luc-aq,1903,623
319,320,639,0,951,harmony-standard-series-rebel-burgundy,951,319
320,368,591,192,767,gibson-es-335-dot-vintage-ebony-10146619,575,223
321,648,1271,8,1911,fender-vintera-70-s-tele-deluxe-vbl-10114936,1903,623
322,600,1319,16,1903,ibanez-artcore-af55-tf,1887,719
323,632,1290,3,1915,esp-ltd-h-1001-vlands,1912,658
324,648,1271,16,1903,hagstrom-ultra-swede-esn-black-gloss,1887,623
325,640,1279,8,1911,haar-traditional-t-aged-vintage-white-10116155,1903,639
326,648,1255,8,1919,schecter-demon-6-fr-absn-10117531,1911,607
327,288,671,8,951,guild-starfire-i-sc-scw,943,383
328,656,1263,8,1911,schecter-sun-valley-ss-exotic-black-limba,1903,607
329,648,1271,8,1911,fender-custom-shop-fat-50s-stratocaster-relic-10144083,1903,623
330,648,1271,24,1903,prs-se-standard-24-08-tb,1879,623
331,592,1319,2,1911,jackson-kelly-js32t-ke-viola-burst,1909,727
332,620,1300,0,1915,esp-ltd-deluxe-ec-1000t-qm-charcoal-burst,1915,680
